Gasoline Samples,Extracted Ion Mass (-0.3 +0.7),Retention Time,Area
Sample1_Vial1_Run1,73,1.113,66521
,,1.04,50173
,,1.847,74884
,91,3.285,15533489
,,6,4639716
,,6.345,20439419
,78,1.844,3347903
,,6.419,801591
,100,3.203,14600265
,,,
Sample1_Vial1_Run2,73,1.089,44652
,,1.224,47858
,,1.853,82456
,91,3.28,14880694
,,6,4132290
,,6.324,16871092
,78,1.839,3110160
,,6.39,771763
,100,3.198,14123718
,,,
Sample1_Vial1_Run3,73,1.105,67583
,,1.065,87188
,,1.846,104504
,91,3.281,20462512
,,5.983,5455497
,,6.338,31803935
,78,1.84,4387327
,,6.428,1094859
,100,3.199,19459393
,,,
Sample2_Vial1_Run1,73,1.103,115058
,,1.072,173768
,,1.833,100609
,91,3.268,19283762
,,5.974,4950850
,,6.357,16158785
,78,1.827,4010606
,,6.381,1690486
,100,3.186,17988293
,,,
Sample2_Vial1_Run2,73,1.101,58599
,,1.146,90767
,,1.836,99591
,91,3.265,18095902
,,5.953,6098593
,,6.316,22858705
,78,1.824,3847581
,,6.374,850207
,100,3.183,17155564
,,,
Sample2_Vial1_Run3,73,1.088,32253
,,1.103,74512
,,1.816,60424
,91,3.25,14466928
,,5.953,4406213
,,6.316,9768255
,78,1.809,3072782
,,6.356,1864615
,100,3.168,13773711
,,,
Sample3_Vial1_Run1,73,1.108,88549
,,1.104,101007
,,1.82,95598
,91,3.262,17960384
,,5.962,6215248
,,6.326,16451833
,78,1.821,3792078
,,6.385,2108331
,100,3.18,16829166
,,,
Sample3_Vial1_Run2,73,1.101,92204
,,1.138,135810
,,1.844,113600
,91,3.282,22124873
,,5.965,5340149
,,6.354,23007992
,78,1.841,4744697
,,6.42,1735718
,100,3.2,20767057
,,,
Sample3_Vial1_Run3,73,1.104,81573
,,1.199,52652
,,1.838,108817
,91,3.281,20011933
,,5.962,5923142
,,6.311,22932348
,78,1.84,4183788
,,6.368,735255
,100,3.199,18895045
